game.key,game.date,game.number,name.full
db03f28a-cbb6-5fc2-9da4-12a2b0ec3779,1915-04-30,0,Moran
2f11aa23-d08a-52a8-a43b-44b938d4b323,1915-04-30,0,Norcum
2f11aa23-d08a-52a8-a43b-44b938d4b323,1915-04-30,0,Roth
9faaf2f3-f7a0-59ab-89bd-2ee659e181e1,1915-04-30,0,Vitter
9090311a-13f0-5209-ab35-b742d7e23fe3,1915-04-30,0,Lauzon
e9e23284-1c6e-523d-bd71-d4d2f764618f,1915-05-01,0,Vitter
4a07276b-c5fb-52fb-936d-7da77a3b295f,1915-05-01,0,Norcum
4a07276b-c5fb-52fb-936d-7da77a3b295f,1915-05-01,0,Roth
6f2555cd-e9b2-5351-b5de-ce765901c3b4,1915-05-01,0,Lauzon
60892172-e8b1-5605-943d-646473d36380,1915-05-03,0,Moran
13f4d768-79f1-53b7-b000-d5674f959384,1915-05-03,0,Vitter
e6138842-f4dc-5730-9344-abacb143ab78,1915-05-03,0,Roth
7110c9f1-f0cc-5bd7-8ecc-75478a81dba1,1915-05-03,0,Lauzon
4f75938e-d80f-5ea7-9239-b097c4685278,1915-05-04,0,Moran
444a2a7b-c94d-5bd5-9c44-30afb5e2eb3e,1915-05-04,0,Vitter
82c8580e-4e8d-5df0-8596-3a0878ea9a7e,1915-05-04,0,Hill
8c4059bc-aa64-51d6-a89c-2c0111084d6a,1915-05-04,0,Lauzon
cba7ae1d-e3ec-5f5a-ab6f-7a448ee70c8f,1915-05-05,0,Vitter
1266fd14-b2e2-5b8b-a988-06d466e88fb2,1915-05-05,0,Lewis
7da6b4bc-ca0c-579d-8b89-1fe192c98d74,1915-05-05,0,Moran
1fc7f622-1620-544e-9c4a-9b780cdf9fd8,1915-05-05,0,Lauzon
dc7ecaa9-9389-59d0-8421-c7f6150ec3a1,1915-05-06,0,Vitter
e0b2b3b9-b867-5a07-9451-c2f891b5fb6b,1915-05-06,0,Lewis
ffa0a550-4f95-50fa-983f-8086ef0b42b6,1915-05-06,0,Moran
25450772-2962-598e-89d6-8c522765c3ed,1915-05-06,0,Lauzon
36be4b2e-1487-5ae8-a3b5-8c8549eee6ea,1915-05-07,0,Lewis
11d372e2-79a6-5fa9-80ee-0404b66d6e96,1915-05-08,0,Moran
2f19e66a-5c85-5187-9fa4-e10798a6fdd3,1915-05-08,0,Vitter
42c1f916-48ee-5c8a-af48-6dc575e3485d,1915-05-10,1,Lewis
13d700f2-6422-5ce0-93cd-1ff62970bc49,1915-05-10,2,Lewis
a2cf47ef-4bae-53b7-963c-6ca42a1653fa,1915-05-10,0,Moran
077867b9-ecb7-5494-a316-7c72e7800c9e,1915-05-10,0,Vitter
aece2000-556f-58cb-ad19-d87f093eae24,1915-05-10,0,Lauzon
700bb279-4533-5381-803b-89e43b72f20e,1915-05-11,0,Lewis
681c784c-e98e-5515-9ade-f6a83d9dd105,1915-05-11,0,Moran
becba432-ad09-57d8-9e84-482dfdf3c313,1915-05-11,0,Lauzon
e23666dc-9570-59de-9b62-8044d3888970,1915-05-12,1,Vitter
382e0be6-e212-5914-9f2b-e0e4957a21c6,1915-05-12,2,Vitter
30c0af82-7c8e-5465-9667-6ccb14239576,1915-05-12,1,Lauzon
0646ccaa-92e0-5e5b-91c5-740df9c92d11,1915-05-12,2,Lauzon
20553ed6-cc4d-5879-95cf-15e709e7e1c3,1915-05-12,1,Moran
ca2920c5-46b1-5f8c-841c-801398304579,1915-05-12,2,Moran
6eaa5fb9-b005-5f17-9b99-47001e814aac,1915-05-13,1,Vitter
d89eeedf-29c8-5794-b905-e879bbacdcba,1915-05-13,2,Vitter
f674fd76-ab63-504a-b533-72a54a87477b,1915-05-13,1,Lewis
1ec95520-366a-5e59-b083-ad9d681fe39a,1915-05-13,2,Lewis
c6e8db3e-2edb-5af0-ae6a-4f4a8ab5ec43,1915-05-13,0,Lauzon
7d7d8dcd-3c9a-58b1-80e9-c23ff7e9daea,1915-05-14,0,Vitter
