league.year,league.name,person.ref,person.name.last,person.name.given,entry.name,S_FIRST,S_LAST,B_G,P_G,F_1B_G,F_2B_G,F_3B_G,F_SS_G,F_OF_G,F_LF_G,F_CF_G,F_RF_G,F_C_G,F_P_G
1915,South Atlantic League,APRN0101,O'Brien,,Columbia,1915-04-12,1915-05-06,17,0,0,14,0,0,0,0,0,0,0,0
1915,South Atlantic League,AKRN0101,Ogren,,Augusta,1915-04-12,1915-05-15,32,0,0,32,0,0,0,0,0,0,0,0
1915,South Atlantic League,ARST0101,Orstendorf,,Macon,1915-04-17,1915-04-17,1,1,0,0,0,0,0,0,0,0,0,1
1915,South Atlantic League,ASTN0101,Ostendorf,,Macon,1915-04-12,1915-04-12,1,1,0,0,0,0,0,0,0,0,0,1
1915,South Atlantic League,PTRS0101,Patterson,,Columbia,1915-04-12,1915-04-21,6,0,0,0,0,0,4,0,0,4,0,0
1915,South Atlantic League,PRSN0102,Pearson,,Augusta,1915-04-14,1915-04-16,2,1,0,0,0,0,0,0,0,0,0,1
1915,South Atlantic League,PRSN0202,Pearson,,Jacksonville,1915-04-24,1915-05-13,5,5,0,0,0,0,0,0,0,0,0,5
1915,South Atlantic League,PRZZ0101,Pierre,,Jacksonville,1915-04-12,1915-05-15,29,0,0,0,0,0,2,0,0,2,27,0
1915,South Atlantic League,PKRN0101,Pokorney,,Columbia,1915-04-12,1915-04-26,13,0,0,8,0,2,0,0,0,0,0,0
1915,South Atlantic League,PTSZ0101,Potts,,Columbus,1915-05-10,1915-05-15,7,0,0,7,0,0,0,0,0,0,0,0
1915,South Atlantic League,PLZZ0202,Powell,,Jacksonville,1915-04-12,1915-04-12,1,0,0,0,0,1,0,0,0,0,0,0
1915,South Atlantic League,PRTZ0101,Pratt,,Jacksonville,1915-04-26,1915-05-13,4,4,0,0,0,0,0,0,0,0,0,4
1915,South Atlantic League,PRKZ0101,Price,,Jacksonville,1915-04-13,1915-04-23,7,3,0,0,0,0,4,4,0,0,0,3
1915,South Atlantic League,PRFZ0101,Prough,,Albany,1915-04-12,1915-05-15,30,0,30,0,0,0,0,0,0,0,0,0
1915,South Atlantic League,RFRT0101,Rafferty,,Savannah,1915-04-19,1915-04-20,2,0,0,0,0,0,2,0,0,2,0,0
1915,South Atlantic League,RKNZ0101,Reagan,,Charleston,1915-04-12,1915-05-08,24,0,0,24,0,0,0,0,0,0,0,0
1915,South Atlantic League,RTNK0101,Redding,,Columbus,1915-04-14,1915-05-15,9,9,0,0,0,0,0,0,0,0,0,9
1915,South Atlantic League,RKRT0101,Rickard,,Columbus,1915-04-12,1915-04-26,14,0,0,0,0,0,14,0,0,14,0,0
1915,South Atlantic League,RPRT0101,Robertson,,Columbus,1915-04-13,1915-05-14,6,6,0,0,0,0,1,0,0,1,0,6
1915,South Atlantic League,R0ZZ0101,Roth,,Augusta,1915-04-30,1915-05-15,13,3,0,0,0,0,12,1,0,11,0,3
1915,South Atlantic League,SPRZ0101,Sabrie,,Charleston,1915-04-12,1915-05-15,30,0,30,0,0,0,0,0,0,0,0,0
1915,South Atlantic League,SLFZ0101,Selph,,Jacksonville,1915-04-13,1915-04-14,2,0,0,0,0,2,0,0,0,0,0,0
1915,South Atlantic League,XNLT0102,Shenault,,Savannah,1915-05-06,1915-05-06,1,0,0,0,0,0,1,0,0,1,0,0
1915,South Atlantic League,XNLZ0101,Shinaul,,Savannah,1915-05-03,1915-05-04,2,0,0,0,0,0,2,0,0,2,0,0
1915,South Atlantic League,XNLT0202,Shinault,,Savannah,1915-05-05,1915-05-13,6,0,0,0,0,0,6,0,0,6,0,0
1915,South Atlantic League,XRLZ0102,Shirley,,Augusta,1915-04-21,1915-05-03,6,5,0,0,0,0,0,0,0,0,0,5
1915,South Atlantic League,XRLZ0202,Shirley,,Charleston,1915-05-11,1915-05-15,4,2,0,0,0,0,2,0,0,2,0,2
1915,South Atlantic League,XRTZ0101,Short,,Savannah,1915-04-12,1915-05-15,30,0,0,0,0,0,0,0,0,0,30,0
1915,South Atlantic League,SMLT0101,Smallwood,,Savannah,1915-04-12,1915-05-13,8,8,0,0,0,0,0,0,0,0,0,8
1915,South Atlantic League,SM0Z0102,Smith,,Augusta,1915-04-12,1915-05-15,32,1,0,0,0,0,32,32,0,0,0,1
1915,South Atlantic League,SM0Z0202,Smith,,Columbia,1915-05-05,1915-05-13,3,3,0,0,0,0,0,0,0,0,0,3
1915,South Atlantic League,S0ZZ0102,South,,Albany,1915-04-13,1915-04-28,4,4,0,0,0,0,0,0,0,0,0,4
1915,South Atlantic League,S0ZZ0202,South,,Augusta,1915-05-06,1915-05-13,3,3,0,0,0,0,0,0,0,0,0,3
1915,South Atlantic League,SPTZ0102,Spaid,,Charleston,1915-04-13,1915-04-22,3,3,0,0,0,0,0,0,0,0,0,3
1915,South Atlantic League,SPTZ0202,Spaid,,Jacksonville,1915-05-10,1915-05-14,2,2,0,0,0,0,0,0,0,0,0,2
1915,South Atlantic League,SPRN0101,Springman,,Savannah,1915-04-14,1915-05-14,9,7,0,0,0,0,2,0,0,2,0,7
1915,South Atlantic League,STNS0101,Stinson,,Macon,1915-04-12,1915-05-15,30,0,0,0,0,0,29,0,0,29,0,0
1915,South Atlantic League,STNZ0101,Stone,,Augusta,1915-04-27,1915-04-30,2,2,0,0,0,0,0,0,0,0,0,2
1915,South Atlantic League,STRT0101,Stuart,,Columbia,1915-04-12,1915-05-15,17,0,0,0,0,2,0,0,0,0,15,0
1915,South Atlantic League,TXZZ0101,Tesch,,Columbia,1915-05-03,1915-05-05,3,0,0,0,0,3,0,0,0,0,0,0
1915,South Atlantic League,TMPS0101,Thompson,,Columbus,1915-04-12,1915-05-15,31,0,0,0,0,0,23,23,0,0,8,0
1915,South Atlantic League,TSNZ0101,Tyson,,Charleston,1915-04-12,1915-05-10,24,0,0,0,0,0,24,0,0,24,0,0
1915,South Atlantic League,FSZZ0101,Voss,,Columbus,1915-04-13,1915-05-15,20,6,4,1,0,0,7,1,1,5,0,6
1915,South Atlantic League,ALTR0202,Waldron,,Albany,1915-04-16,1915-05-15,26,0,0,21,0,6,1,0,0,1,0,0
1915,South Atlantic League,ATSN0102,Watson,,Augusta,1915-04-14,1915-04-14,1,1,0,0,0,0,0,0,0,0,0,1
1915,South Atlantic League,ATSN0202,Watson,,Columbus,1915-04-23,1915-05-15,8,7,0,0,0,0,1,1,0,0,0,7
1915,South Atlantic League,ALSZ0202,Wells,,Albany,1915-04-12,1915-05-15,26,0,0,0,0,0,0,0,0,0,26,0
1915,South Atlantic League,AKNF0102,Wickenhofer,,Jacksonville,1915-04-20,1915-04-20,1,0,0,0,0,0,0,0,0,0,1,0
1915,South Atlantic League,AKNF0202,Wickenhoff,,Jacksonville,1915-04-22,1915-04-22,1,0,0,0,0,0,0,0,0,0,0,0
1915,South Atlantic League,ALZZ0101,Wiley,,Albany,1915-04-12,1915-05-03,6,6,0,0,0,0,0,0,0,0,0,6
1915,South Atlantic League,ALMS0103,Williams,,Columbia,1915-04-14,1915-04-24,4,4,0,0,0,0,0,0,0,0,0,4
1915,South Atlantic League,ALMS0203,Williams,,Jacksonville,1915-04-13,1915-04-30,6,5,0,0,0,0,1,0,0,1,0,5
1915,South Atlantic League,ALMS0303,Williams,,Macon,1915-05-12,1915-05-15,2,2,0,0,0,0,0,0,0,0,0,2
1915,South Atlantic League,ANXL0102,Winchell,,Albany,1915-05-04,1915-05-14,3,3,0,0,0,0,0,0,0,0,0,3
1915,South Atlantic League,ANXL0202,Winchell,,Augusta,1915-04-14,1915-04-27,6,5,0,0,0,0,0,0,0,0,0,5
1915,South Atlantic League,ANST0101,Winston,,Savannah,1915-04-12,1915-05-15,30,0,0,0,0,0,30,30,0,0,0,0
1915,South Atlantic League,ALFZ0102,Wolfe,,Savannah,1915-04-15,1915-05-01,2,2,0,0,0,0,0,0,0,0,0,2
1915,South Atlantic League,ATZZ0101,Wood,,Jacksonville,1915-04-13,1915-05-11,10,7,0,0,0,0,3,0,0,3,0,7
1915,South Atlantic League,ATSZ0101,Woods,,Jacksonville,1915-04-16,1915-04-16,1,1,0,0,0,0,0,0,0,0,0,1
1915,South Atlantic League,ALFZ0202,Woolfe,,Savannah,1915-04-20,1915-04-27,2,2,0,0,0,0,0,0,0,0,0,2
1915,South Atlantic League,AKNT0101,Wyckendorff,,Jacksonville,1915-04-26,1915-04-26,1,0,0,0,0,0,0,0,0,0,1,0
1915,South Atlantic League,SMRM0101,Zimmerman,,Savannah,1915-04-12,1915-05-15,30,0,0,30,0,0,0,0,0,0,0,0
